id,date,subject,class_type,distance_miles,avg_hr,max_hr,splat_points,calories,zone_gray_min,zone_blue_min,zone_green_min,zone_orange_min,zone_red_min,source
8e7764c2f66b,,"REDACTED_NAME, way to conquer that workout. Track your fitness journey inside.",Unknown,,,,145,21,,,,,,graph:AQMkADAwATExADhlNy00YzRkLThkMWEtMDACLTAwCgBGAAADP3RoO7OiGki7wsdvbwADroEHAI7wAa4iGANGobjEpJupSpMACKuTh4MAAACO8AGuIhgDRqG4xKSbqUqTAAirm7rDAAAA
181ecdecf5bb,,"REDACTED_NAME, way to conquer that workout. Track your fitness journey inside.",Unknown,,,,143,22,,,,,,graph:AQMkADAwATExADhlNy00YzRkLThkMWEtMDACLTAwCgBGAAADP3RoO7OiGki7wsdvbwADroEHAI7wAa4iGANGobjEpJupSpMACKuTh4MAAACO8AGuIhgDRqG4xKSbqUqTAAirm7rEAAAA
9672e9666c40,,"REDACTED_NAME, way to conquer that workout. Track your fitness journey inside.",Unknown,,,,140,15,,,,,,graph:AQMkADAwATExADhlNy00YzRkLThkMWEtMDACLTAwCgBGAAADP3RoO7OiGki7wsdvbwADroEHAI7wAa4iGANGobjEpJupSpMACKuTh4MAAACO8AGuIhgDRqG4xKSbqUqTAAirm7rFAAAA
47ec96b3ebb8,,"REDACTED_NAME, way to conquer that workout. Track your fitness journey inside.",Unknown,3.19,134,168,14,592,,,,,,graph:AQMkADAwATExADhlNy00YzRkLThkMWEtMDACLTAwCgBGAAADP3RoO7OiGki7wsdvbwADroEHAI7wAa4iGANGobjEpJupSpMACKuTh4MAAACO8AGuIhgDRqG4xKSbqUqTAAirm7q5AAAA
89c9bf07959b,,"REDACTED_NAME, way to conquer that workout. Track your fitness journey inside.",Unknown,2.54,137,163,15,638,,,,,,graph:AQMkADAwATExADhlNy00YzRkLThkMWEtMDACLTAwCgBGAAADP3RoO7OiGki7wsdvbwADroEHAI7wAa4iGANGobjEpJupSpMACKuTh4MAAACO8AGuIhgDRqG4xKSbqUqTAAirm7q6AAAAAA==
557851675149,,"REDACTED_NAME, way to conquer that workout. Track your fitness journey inside.",Unknown,2.9,141,162,16,614,,,,,,graph:AQMkADAwATExADhlNy00YzRkLThkMWEtMDACLTAwCgBGAAADP3RoO7OiGki7wsdvbwADroEHAI7wAa4iGANGobjEpJupSpMACKuTh4MAAACO8AGuIhgDRqG4xKSbqUqTAAirm7q7AAAA
a049eed17886,,"REDACTED_NAME, way to conquer that workout. Track your fitness journey inside.",Unknown,1.81,134,169,10,578,,,,,,graph:AQMkADAwATExADhlNy00YzRkLThkMWEtMDACLTAwCgBGAAADP3RoO7OiGki7wsdvbwADroEHAI7wAa4iGANGobjEpJupSpMACKuTh4MAAACO8AGuIhgDRqG4xKSbqUqTAAirm7q8AAAA
e7abba0e84f9,,"REDACTED_NAME, way to conquer that workout. Track your fitness journey inside.",Unknown,3.16,145,167,21,654,,,,,,graph:AQMkADAwATExADhlNy00YzRkLThkMWEtMDACLTAwCgBGAAADP3RoO7OiGki7wsdvbwADroEHAI7wAa4iGANGobjEpJupSpMACKuTh4MAAACO8AGuIhgDRqG4xKSbqUqTAAirm7q9AAAA
7ead007952c4,,"REDACTED_NAME, way to conquer that workout. Track your fitness journey inside.",Unknown,3.04,140,163,16,582,,,,,,graph:AQMkADAwATExADhlNy00YzRkLThkMWEtMDACLTAwCgBGAAADP3RoO7OiGki7wsdvbwADroEHAI7wAa4iGANGobjEpJupSpMACKuTh4MAAACO8AGuIhgDRqG4xKSbqUqTAAirm7q_AAAA
d6a19a95b66d,,"REDACTED_NAME, way to conquer that workout. Track your fitness journey inside.",Unknown,2.96,128,158,8,689,,,,,,graph:AQMkADAwATExADhlNy00YzRkLThkMWEtMDACLTAwCgBGAAADP3RoO7OiGki7wsdvbwADroEHAI7wAa4iGANGobjEpJupSpMACKuTh4MAAACO8AGuIhgDRqG4xKSbqUqTAAirm7q-AAAA
d5949b9f1939,,"REDACTED_NAME, way to conquer that workout. Track your fitness journey inside.",Unknown,3.15,139,165,18,786,,,,,,graph:AQMkADAwATExADhlNy00YzRkLThkMWEtMDACLTAwCgBGAAADP3RoO7OiGki7wsdvbwADroEHAI7wAa4iGANGobjEpJupSpMACKuTh4MAAACO8AGuIhgDRqG4xKSbqUqTAAirm7rAAAAA
701ec7945172,,"REDACTED_NAME, way to conquer that workout. Track your fitness journey inside.",Unknown,3.1,142,164,17,611,,,,,,graph:AQMkADAwATExADhlNy00YzRkLThkMWEtMDACLTAwCgBGAAADP3RoO7OiGki7wsdvbwADroEHAI7wAa4iGANGobjEpJupSpMACKuTh4MAAACO8AGuIhgDRqG4xKSbqUqTAAirm7rBAAAA
44d021956083,,"REDACTED_NAME, way to conquer that workout. Track your fitness journey inside.",Unknown,3.15,140,165,18,635,,,,,,graph:AQMkADAwATExADhlNy00YzRkLThkMWEtMDACLTAwCgBGAAADP3RoO7OiGki7wsdvbwADroEHAI7wAa4iGANGobjEpJupSpMACKuTh4MAAACO8AGuIhgDRqG4xKSbqUqTAAirm7rCAAAA
a20007c791c6,,"REDACTED_NAME, way to conquer that workout. Track your fitness journey inside.",Unknown,3.03,145,166,21,655,,,,,,graph:AQMkADAwATExADhlNy00YzRkLThkMWEtMDACLTAwCgBGAAADP3RoO7OiGki7wsdvbwADroEHAI7wAa4iGANGobjEpJupSpMACKuTh4MAAACO8AGuIhgDRqG4xKSbqUqTAAirm7rDAAAA
59b0a564c917,,"REDACTED_NAME, way to conquer that workout. Track your fitness journey inside.",Unknown,3.23,143,167,22,628,,,,,,graph:AQMkADAwATExADhlNy00YzRkLThkMWEtMDACLTAwCgBGAAADP3RoO7OiGki7wsdvbwADroEHAI7wAa4iGANGobjEpJupSpMACKuTh4MAAACO8AGuIhgDRqG4xKSbqUqTAAirm7rEAAAA
39df8b2e84fe,,"REDACTED_NAME, way to conquer that workout. Track your fitness journey inside.",Unknown,2.21,140,171,15,614,,,,,,graph:AQMkADAwATExADhlNy00YzRkLThkMWEtMDACLTAwCgBGAAADP3RoO7OiGki7wsdvbwADroEHAI7wAa4iGANGobjEpJupSpMACKuTh4MAAACO8AGuIhgDRqG4xKSbqUqTAAirm7rFAAAA
